plot,block,Inoculation,Cultivar,trt,23-May,25-May,27-May,29-May,31-May,1-Jun,4-Jun,6-Jun,8-Jun,9-Jun,12-Jun,14-Jun,16-Jun,19-Jun,21-Jun,23-Jun,26-Jun,28-Jun,30-Jun,3-Jul,7-Jul,10-Jul,13-Jul,17-Jul,20-Jul,,,
7,1,Arrest,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.86,833.67,1115.485,952.99,1442.045,,,
23,2,Well,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,50.24,128.74,141.3,357.96,1482.08,1586.485,2939.04,4279.82,,,
31,3,Well,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.555,248.845,220.585,164.85,348.54,,,
45,3,Arrest,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.26,86.35,78.5,387.79,1223.03,1833.76,2701.185,2952.385,,,
51,1,Well,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,255.125,403.49,378.37,1112.345,,,
62,2,Arrest,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.925,618.58,843.875,2076.325,3434.375,,,
79,4,Arrest,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.955,98.125,126.385,160.925,116.965,540.865,3114.88,4391.29,9748.13,9421.57,,,
95,4,Well,"""007""",S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.74,275.535,215.09,671.96,601.31,,,
1,1,Arrest,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.26,76.145,98.125,47.885,28.26,,,
14,2,Well,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.51,371.305,478.85,512.605,913.74,,,
33,3,Well,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.86,69.865,269.255,500.045,,,
39,3,Arrest,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.705,136.59,176.625,353.25,304.58,,,
57,1,Well,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,167.99,120.105,136.59,202.53,,,
68,2,Arrest,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,98.125,1358.835,1236.375,2127.35,3765.645,,,
74,4,Arrest,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.695,330.485,369.735,678.24,,,
91,4,Well,Coho,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.25,184.475,134.235,,,
12,1,Arrest,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,0,50.24,0,66.725,367.38,541.65,675.1,818.755,2844.055,6856.975,9719.085,8940.365,11586.6,,,
17,2,Well,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,506.325,584.825,591.105,1946.8,2139.91,5427.49,7114.455,13776.75,,,
28,3,Well,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,262.975,259.835,98.125,270.04,543.22,767.73,777.15,1015.79,2787.535,5284.62,6611.27,10385.55,12698.945,,,
43,3,Arrest,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,66.725,0,98.125,58.09,0,0,98.125,88.705,675.885,2935.9,3306.42,4971.405,6217.985,,,
53,1,Well,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541.65,2537.12,3727.18,4920.38,7454.36,,,
72,2,Arrest,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,457.655,284.17,416.835,301.44,377.585,583.255,708.855,554.995,1149.24,3676.155,3575.675,5709.305,9164.09,,,
83,4,Arrest,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.655,86.35,221.37,460.795,390.93,3395.91,10056.635,11591.31,24432.34,30351.24,,,
87,4,Well,Indep,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.005,1322.725,1047.19,2709.035,3249.9,,,
5,1,Arrest,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,887.835,904.32,1306.24,1046.405,,,
21,2,Well,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.1,66.725,116.965,148.365,359.53,1066.815,1325.865,1471.875,3177.68,,,
29,3,Well,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.26,38.465,141.3,113.04,96.555,392.5,858.005,898.825,1426.345,1595.905,,,
48,3,Arrest,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.6,340.69,821.895,1699.525,1196.34,,,
50,1,Well,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.215,167.205,98.125,415.265,,,
61,2,Arrest,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.725,47.885,195.465,297.515,148.365,897.255,1425.56,1753.69,2533.195,3639.26,,,
80,4,Arrest,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.365,126.385,229.22,380.725,302.225,658.615,2861.325,2711.39,4202.89,4158.145,,,
94,4,Well,"""007""",SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383.865,709.64,760.665,1051.9,1149.24,,,
3,1,Arrest,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.715,38.465,98.125,58.09,,,
13,2,Well,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,273.18,204.885,215.875,504.755,,,
35,3,Well,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.59,76.93,167.205,148.365,,,
38,3,Arrest,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.93,293.59,317.14,379.94,379.94,,,
60,1,Well,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.985,624.075,346.185,342.26,628,,,
65,2,Arrest,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.725,136.59,464.72,503.185,806.98,893.33,,,
75,4,Arrest,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.725,213.52,685.305,956.13,,,
92,4,Well,Coho,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178.195,166.42,428.61,475.71,,,
11,1,Arrest,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.705,127.17,218.23,186.83,453.73,1233.235,3645.54,4877.205,5458.105,8708.005,,,
18,2,Well,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.725,230.005,211.165,371.305,1026.78,2997.13,4359.105,4979.255,9894.925,,,
25,3,Well,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,56.52,230.005,261.405,556.565,521.24,1106.065,4178.555,4275.11,6149.69,8635.785,,,
42,3,Arrest,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,98.125,127.17,203.315,105.19,78.5,163.28,167.205,230.005,789.71,2685.485,3764.86,5322.3,5064.035,,,
56,1,Well,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,136.59,105.19,0,364.24,0,108.33,128.74,0,525.95,1495.425,1516.62,1360.405,2150.9,,,
70,2,Arrest,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,127.955,124.815,253.555,230.005,359.53,501.615,1237.16,933.365,3895.955,11709.845,15081.42,32860.885,41034.305,,,
84,4,Arrest,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,77.715,38.465,108.33,38.465,67.51,203.315,155.43,1241.87,4597.745,3577.245,11888.04,15437.81,,,
88,4,Well,Indep,SB,0,0,0,0,0,0,0,0,0,0,0,0,0,205.67,128.74,19.625,0,0,141.3,106.76,402.705,1343.92,1106.85,2818.15,3623.56,,,
6,1,Arrest,"""007""",Non,0,0,0,0,0,0,387.005,285.74,123.245,105.19,116.965,273.965,548.715,1753.69,1468.735,379.155,2740.435,8507.045,8362.605,6801.24,41443.29,55094.44,64718.54,80941.35,108316.655,,,
22,2,Well,"""007""",Non,0,0,0,0,0,0,0,0,0,0,0,0,78.5,554.21,653.12,445.88,1609.25,3446.935,3462.635,2829.14,7743.24,13002.74,15437.81,21340.225,27448.31,,,
30,3,Well,"""007""",Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.35,438.03,485.915,309.29,1221.46,3436.73,4067.085,4921.165,5284.62,,,
46,3,Arrest,"""007""",Non,0,0,0,0,0,0,0,108.33,56.52,0,38.465,0,0,533.8,1018.93,224.51,2451.555,4876.42,7423.745,8836.745,30472.915,60216.565,71246.6,91743.735,97942.88,,,
52,1,Well,"""007""",Non,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,100.48,0,348.54,559.705,735.545,461.58,2906.07,4583.615,6099.45,6410.31,8196.97,,,
64,2,Arrest,"""007""",Non,0,0,0,245.705,245.705,524.38,641.345,500.83,293.59,358.745,388.575,445.88,6694.48,10471.115,7710.27,8431.685,34055.655,82016.015,88498.545,53986.02,184823.54,290599.935,238417.845,395870.005,484239.81,,,
78,4,Arrest,"""007""",Non,0,0,0,88.705,292.02,361.1,167.205,163.28,98.125,78.5,146.795,108.33,1490.715,2367.56,2927.265,2603.06,7052.44,14178.67,21188.72,21696.615,69014.06,139809.285,172961.405,213784.545,267527.215,,,
93,4,Well,"""007""",Non,0,0,0,128.74,189.185,128.74,116.965,105.19,0,76.93,105.19,177.41,202.53,262.19,376.015,192.325,312.43,481.205,622.505,409.77,1851.03,3601.58,3903.02,5262.64,6685.845,,,
2,1,Arrest,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.885,105.19,339.905,270.825,1301.53,3306.42,3115.665,2239.605,3158.055,,,
15,2,Well,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.465,38.465,78.5,0,449.805,1330.575,1221.46,1657.135,2019.02,,,
34,3,Well,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.19,406.63,270.04,811.69,318.71,,,
37,3,Arrest,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,50.24,38.465,69.865,0,178.195,271.61,1014.22,323.42,2617.975,8324.925,8315.505,9257.505,10164.965,,,
59,1,Well,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.625,205.67,186.83,234.715,481.205,,,
66,2,Arrest,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,96.555,175.055,183.69,0,558.135,725.34,1175.145,604.45,8098.845,16937.16,19457.01,29262.445,35619.375,,,
76,4,Arrest,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,86.35,105.19,178.98,77.715,300.655,1000.875,980.465,1271.7,4664.47,14060.92,14685.78,24473.16,28543.385,,,
89,4,Well,Coho,Non,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.725,613.87,544.79,968.69,511.82,,,
9,1,Arrest,Indep,Non,232.36,167.205,302.225,221.37,255.91,280.245,421.545,280.245,105.19,88.705,183.69,397.995,4968.265,15386.785,18259.1,10450.705,82209.125,168908.45,209226.835,144674.715,526525.405,563743.04,698241.015,524070.71,644059.53,,,
20,2,Well,Indep,Non,442.74,797.56,2007.245,2323.6,1278.765,1604.54,1026.78,1062.105,1008.725,704.145,594.245,1139.035,4751.605,7911.23,7600.37,6272.15,14130,22673.155,22378.78,19092.77,43810.85,54657.98,62867.51,86488.16,92447.88,,,
26,3,Well,Indep,Non,0,0,0,0,0,0,38.465,217.445,116.965,106.76,155.43,116.965,380.725,2230.97,2729.445,1981.34,9744.205,11689.435,12759.39,12161.22,28828.34,41813.81,45951.545,43379.1,73029.335,,,
41,3,Arrest,Indep,Non,0,0,0,0,395.64,414.48,445.88,318.71,138.945,106.76,163.28,317.925,342.26,1215.18,2296.91,1481.295,11787.56,21764.125,34075.28,28098.29,85648.995,245100.55,179276.73,226862.645,259721.175,,,
55,1,Well,Indep,Non,0,0,204.1,279.46,128.74,279.46,562.06,167.205,218.23,116.965,0,116.965,1164.155,1551.945,1861.235,1146.1,3919.505,5233.595,5609.61,3194.95,11681.585,19559.845,21251.52,22721.04,33811.52,,,
69,2,Arrest,Indep,Non,0,0,0,788.14,474.14,380.725,638.205,359.53,58.09,167.205,106.76,749.675,10230.12,20314.23,23139.445,22414.89,88217.515,142893.55,185617.175,160001.84,374269.16,501871.695,483089.785,665943.76,643012.34,,,
82,4,Arrest,Indep,Non,116.965,178.98,1130.4,908.245,909.815,654.69,701.79,507.895,346.97,273.965,439.6,573.05,5505.205,14251.675,20569.355,13802.655,78657,105580.145,159977.505,118850.57,553079.6,423809.725,609541.51,652455.89,649422.65,,,
86,4,Well,Indep,Non,0,0,157,150.72,0,88.705,115.395,116.965,0,0,0,0,960.84,1784.305,1955.435,1417.71,4996.525,8626.365,8611.45,5747.77,19007.205,28222.32,27806.27,50475.5,53152.35,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S: Scure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B: Banner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non: non-treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
